State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall,Year
Andaman and Nicobar Island,Arecanut,Autumn     ,NICOBARS,4150.0,3090.0,0.745,29.095271404797103,83.9142814271042,2011
Andaman and Nicobar Island,Arecanut,Kharif     ,NICOBARS,1649.2,2492.0,1.5433333333333332,-84.09819011342137,25.5428417624066,2012
Andaman and Nicobar Island,Arecanut,Kharif     ,NORTH AND MIDDLE ANDAMAN,3100.0,5219.5,1.685,16.26703351083509,44.38606753805744,2004
Andaman and Nicobar Island,Arecanut,Rabi       ,NICOBARS,885.0,762.8181818181819,0.7472727272727272,37.26983479007282,0.5630511036744279,2003
Andaman and Nicobar Island,Arecanut,Rabi       ,NORTH AND MIDDLE ANDAMAN,1622.0,4047.7,2.467,47.53615149773108,85.02685167982517,2015
Andaman and Nicobar Island,Arecanut,Rabi       ,SOUTH ANDAMANS,1838.159,4964.9,3.038,20.533073377468796,79.71978264523035,2000
Andaman and Nicobar Island,Arecanut,Summer     ,NICOBARS,4150.0,2370.0,0.5700000000000001,20.742796615186393,25.35113186363793,2015
Andaman and Nicobar Island,Arecanut,Whole Year ,NICOBARS,1095.074,1223.0,0.808,-80.93123357454628,48.79615630343782,2004
Andaman and Nicobar Island,Arecanut,Whole Year ,NORTH AND MIDDLE ANDAMAN,1160.0,3012.0,2.6,55.8701996078309,64.17215169122576,2018
Andaman and Nicobar Island,Arecanut,Whole Year ,SOUTH ANDAMANS,2926.8900000000003,3966.4,1.348,32.971968470856524,29.340060361250607,2014
Andaman and Nicobar Island,Arhar/Tur,Rabi       ,NORTH AND MIDDLE ANDAMAN,67.12222222222222,35.111111111111114,1.2655555555555553,-33.26122964250216,52.71803246745538,2020
Andaman and Nicobar Island,Arhar/Tur,Rabi       ,SOUTH ANDAMANS,5.625,3.25,0.46,-45.44330118693753,21.35989744282163,2004
Andaman and Nicobar Island,Arhar/Tur,Summer     ,NORTH AND MIDDLE ANDAMAN,231.0,128.0,0.6,80.99820057374026,19.871230068502086,2003
Andaman and Nicobar Island,Banana,Autumn     ,NICOBARS,796.5,7572.5,9.51,79.37408226395053,90.55100052608479,2005
Andaman and Nicobar Island,Banana,Kharif     ,NICOBARS,837.95,7451.0,8.89,-7.663411952457338,68.32727763403726,2007
Andaman and Nicobar Island,Banana,Rabi       ,NICOBARS,685.59,6096.0,8.89,83.11734474525932,91.8218810012019,2015
Andaman and Nicobar Island,Banana,Summer     ,NICOBARS,796.0,7572.5,9.515,-83.47908184003359,13.551982312830468,2004
Andaman and Nicobar Island,Banana,Whole Year ,NICOBARS,403.67925,1365.4375,6.095625,66.36024185944095,90.22158140668422,2000
Andaman and Nicobar Island,Banana,Whole Year ,NORTH AND MIDDLE ANDAMAN,972.4233333333333,8550.333333333334,9.1625,44.68905498671458,5.583966265538997,2010
Andaman and Nicobar Island,Banana,Whole Year ,SOUTH ANDAMANS,729.1133333333333,7818.333333333333,13.264666666666667,-35.68297302426609,26.670152690251157,2004
Andaman and Nicobar Island,Black pepper,Autumn     ,NICOBARS,606.5,33.0,0.05500000000000001,14.528247144008361,67.68800219569971,2018
Andaman and Nicobar Island,Black pepper,Kharif     ,NICOBARS,366.16,21.0,0.06,-11.006665647017996,79.2882204849547,2006
Andaman and Nicobar Island,Black pepper,Rabi       ,NICOBARS,35.128181818181815,3.1818181818181817,0.12272727272727274,-41.90161613669574,83.58821433755386,2000
Andaman and Nicobar Island,Black pepper,Rabi       ,NORTH AND MIDDLE ANDAMAN,95.951,11.4,0.16,-16.489744972216315,40.158166831950496,2007
Andaman and Nicobar Island,Black pepper,Rabi       ,SOUTH ANDAMANS,274.556,79.8,0.655,29.403835841412388,64.41559911844014,2017
Andaman and Nicobar Island,Black pepper,Summer     ,NICOBARS,606.5,14.0,0.025,86.29115772700516,11.517900633055689,2021
Andaman and Nicobar Island,Black pepper,Whole Year ,NICOBARS,57.33200000000001,9.4,0.128,-25.722740538350735,58.212369506647285,2020
Andaman and Nicobar Island,Black pepper,Whole Year ,NORTH AND MIDDLE ANDAMAN,175.0,191.0,1.09,-52.981365327960695,77.04365916728763,2001
Andaman and Nicobar Island,Black pepper,Whole Year ,SOUTH ANDAMANS,524.71,73.4,0.13999999999999999,9.367610656573007,82.44987286073204,2013
Andaman and Nicobar Island,Cashewnut,Rabi       ,NICOBARS,651.37,177.1,0.441,-87.34064209138994,48.22762573439546,2017
Andaman and Nicobar Island,Cashewnut,Rabi       ,NORTH AND MIDDLE ANDAMAN,74.43199999999999,23.1,0.441,-48.65769739990922,94.46722095222493,2015
Andaman and Nicobar Island,Cashewnut,Rabi       ,SOUTH ANDAMANS,20.54,20.2,1.051,17.64917910672814,43.59774714165168,2016
Andaman and Nicobar Island,Cashewnut,Whole Year ,NICOBARS,636.9285714285714,159.0,0.24,65.51677882560912,74.1959457127557,2018
